"AS" "TDC" "CPR" "LAMT" "SLS" "STR" "SDG" "T16H1" "T16H2" "16OMT" "T3O" "T3R" "NMT" "D4H" "DAT" "PRX1" "TPT2" "GBF1A" "GBF2A" "ORCA2" "ORCA3" "ORCA4" "ORCA5" "ZCT1" "ZCT2" "ZCT3" "WRKY1" "MYC2" "HYS" "GS" "TAT" "TEX1" "TEX2" "THAS" "T19H" "MAT" "ORCA6" "10-HG0" "IO" "7-DLGT" "7-DLH" "IRS" "GES" "G10H" "BIS1" "BIS2" "BIS3" "GATA1"
"ORCA3" 0.99412790029826 0.884296056619566 0.384392663008197 0.902170450238203 0.881030581878723 0.942066434453663 0.715710559839466 -0.316067210179305 -0.66979696781706 -0.461248533340407 -0.481946947429671 -0.473439045341286 -0.626087034573342 -0.405214093576526 -0.524224584106178 -0.442003362692054 -0.994824648457556 0.695461927779827 0.544489672957534 0.976081660466751 1 0.822250060738935 0.997392949348056 0.951508643229016 0.606505316408859 0.935478124696418 0.961365152678957 0.99050926214364 0.602141187108643 0.89161730840089 0.997949220664189 0.118466559425836 0.953449587414832 0.998746463883421 0.997501364746488 0.998306568564107 0.994711882789412 -0.246043319558154 -0.166352904908492 0.180210977462861 0.277401809947063 -0.163349987240157 -0.286290955740243 -0.261657796073813 -0.260129043610765 -0.136991052181124 0.226129115856869 -0.217053718873092
"ORCA4" 0.797161139533224 0.894565669256389 -0.202554771425667 0.939046250564433 0.929312375393899 0.88767347573212 0.867124555802736 -0.737011036664099 -0.695923135666588 -0.0674242400497104 -0.0566025810068657 0.0621497465867535 -0.112900355815484 0.138301227877136 -0.0960090184531745 -0.804486753333399 -0.864073374346085 0.168083336246171 0.224111456198091 0.684212041473413 0.822250060738935 1 0.781058874035531 0.608868184980474 0.0855219393921507 0.580495200354113 0.840109830188427 0.789721479499109 0.314411130494838 0.587717843982768 0.786624406321634 -0.422175166605371 0.712250102701042 0.811417601254679 0.791835501799754 0.788405459639831 0.760267236807313 -0.267150609133195 -0.0747878078875889 0.175012516255545 0.252568789520295 -0.103974082310687 -0.237093340050672 -0.158871387563941 -0.209162625528626 -0.123044392025185 0.145119514850338 0.090943001738863
"ORCA5" 0.992135834198225 0.854725044289196 0.446552111632164 0.870356566970079 0.847171703246973 0.921259215449876 0.6711444044779 -0.259189844041676 -0.659380588939191 -0.513091591536345 -0.535870890096664 -0.534668649182055 -0.679347103374723 -0.464624331678267 -0.574058983782843 -0.389075873905158 -0.985448587388646 0.743235968518379 0.573950381031348 0.988410562809939 0.997392949348056 0.781058874035531 1 0.970519408557335 0.65413823748094 0.956672360319848 0.951238646568168 0.991259286486606 0.626365752988367 0.906797799862038 0.99989572724408 0.180261577793148 0.961413932676665 0.996569560619277 0.9993831443496 0.999870975719272 0.999434238347801 -0.232188140384993 -0.168983526304371 0.17877550291354 0.275441200352798 -0.162629181339114 -0.280616669692039 -0.263673470351097 -0.255938749413347 -0.130479573830086 0.234983192866796 -0.268037278973354
"ZCT1" 0.952722797654158 0.737922733618946 0.639660735832489 0.745056398072443 0.720689124840387 0.824994410780099 0.512107660764251 -0.0327685299171022 -0.551285846887942 -0.620559391388871 -0.659458019122678 -0.697328775865299 -0.813220206220372 -0.631060175004716 -0.678506288809131 -0.171581456032997 -0.919610756708761 0.875659796143333 0.61931447839432 0.994686009017706 0.951508643229016 0.608868184980474 0.970519408557335 1 0.808089243444456 0.988511208700362 0.878256015497646 0.951981265050129 0.651601605663923 0.914277635894191 0.967906134673449 0.402923061451272 0.939323923566283 0.953652198290907 0.965042134673427 0.96762675758102 0.977925480464232 -0.223018652090352 -0.217174251209644 0.128408958679763 0.222168641792256 -0.198177591457745 -0.296004849846417 -0.304605923835324 -0.275721965612471 -0.15007746554098 0.21179516896474 -0.371536232260181
"ZCT2" 0.611460508092261 0.274048903398369 0.847081528405132 0.290426256831437 0.281335625787573 0.378262818603308 -0.00305785776912013 0.560608826684257 -0.0248354871408243 -0.62767725272342 -0.734636664131968 -0.81089129377408 -0.832287921717142 -0.729491638012636 -0.609473228912444 0.440748599019228 -0.537172336583563 0.901315312801238 0.378163868384573 0.760771162147264 0.606505316408859 0.0855219393921507 0.65413823748094 0.808089243444456 1 0.769655196481478 0.440744146901548 0.590046138501817 0.36145388613917 0.605517878955572 0.644414392123396 0.861204358763214 0.583026558605336 0.608580024944289 0.634830243068146 0.647102491277774 0.677917748591528 -0.37399417187504 -0.49539154960665 -0.243372152833423 -0.174126321964834 -0.455602982721741 -0.479053602238715 -0.539873707659312 -0.474993255913279 -0.387710370989224 -0.123162553803421 -0.440311305106865
"ZCT3" 0.945517879495496 0.737606378052378 0.679639147728873 0.723263755967599 0.692621321088084 0.826578429379464 0.524228035728966 -0.0711176553814542 -0.624105521465915 -0.651759137923413 -0.664616652162064 -0.735346007146347 -0.850001281105439 -0.700765155483859 -0.748741458152973 -0.210759003483264 -0.904798528578942 0.899759407276504 0.729849988805098 0.976510158702088 0.935478124696418 0.580495200354113 0.956672360319848 0.988511208700362 0.769655196481478 1 0.896518130291169 0.956600301174739 0.75781670090122 0.962001464869007 0.955427982001636 0.367493903239952 0.967192865820492 0.942463867059155 0.953359300476189 0.953060708701002 0.96420796439098 -0.0750583742587025 -0.0728882447949987 0.270009115305036 0.358946456257152 -0.0513867914225437 -0.150370026181227 -0.161302964328089 -0.129202167946538 -0.00169514140870067 0.35323072051646 -0.39814600518087
"WRKY1" 0.973793874061093 0.94326546515194 0.324326661203901 0.925394225692576 0.900727127860654 0.980736344770205 0.832385775008177 -0.482258406769849 -0.781277009183397 -0.369444835067174 -0.344524260287531 -0.392635719490143 -0.559896732207408 -0.393396034182119 -0.512620830205672 -0.600068203586549 -0.974355924164048 0.630456696473116 0.656782110261975 0.903910828016982 0.961365152678957 0.840109830188427 0.951238646568168 0.878256015497646 0.440744146901548 0.896518130291169 1 0.979743454130392 0.716060282147532 0.9286571383899 0.955487860371599 -0.0616559839934681 0.965333818980705 0.969326666704951 0.955067881520635 0.953518237361659 0.945053963710418 -0.03061999267614 0.0757259156018963 0.414846100605476 0.504600587788023 0.0775525156669722 -0.0567400245058008 -0.0200910073032406 -0.0251031149962827 0.092724478718684 0.43445672125058 -0.114472458363755
"MYC2" 0.992765024413125 0.881021671560891 0.439554738752223 0.879328596084589 0.852135302311517 0.943013159397444 0.718326700170548 -0.334543737994855 -0.732965495890869 -0.504145955548166 -0.502901725837128 -0.526102361644283 -0.676362557625741 -0.485340173295546 -0.601697157670311 -0.463039592414586 -0.984558947097425 0.734122782975178 0.652350085309085 0.96886792026587 0.99050926214364 0.789721479499109 0.991259286486606 0.951981265050129 0.590046138501817 0.956600301174739 0.979743454130392 1 0.704980431374842 0.942626518030851 0.992830962977572 0.106174476582909 0.985035311071118 0.993718663841301 0.992978348664732 0.991275470266082 0.989313175888401 -0.11434468430583 -0.0421369043584948 0.304550134207616 0.397952013949324 -0.0358828029772627 -0.159145865780624 -0.138587879217019 -0.132417632829859 -0.00642236739417271 0.353276070323044 -0.253898009677016
"HYS" 0.638043290243063 0.507808841016284 0.628917856799836 0.413801503261232 0.360791575029645 0.586136422480047 0.405921762924723 -0.247902591992116 -0.801347569068596 -0.644794922373741 -0.536730649810556 -0.694924633975787 -0.768141201115204 -0.785387792278197 -0.859611145979849 -0.349058221393322 -0.582986998092564 0.727047411437649 0.995443116522785 0.617959167232093 0.602141187108643 0.314411130494838 0.626365752988367 0.651601605663923 0.36145388613917 0.75781670090122 0.716060282147532 0.704980431374842 1 0.883299500512668 0.631410444373688 0.0800906302598029 0.814542576740833 0.624030067202047 0.636132484708039 0.620101998197948 0.630677870220671 0.593108259512234 0.582440549635273 0.805826000060853 0.846634238857075 0.604743960356721 0.530211983248141 0.513253615127166 0.546870533359365 0.648614807873313 0.870059344935967 -0.46098494421609
"GS" 0.918156985799513 0.779701804975766 0.629737396090481 0.729915560690759 0.693710996530654 0.852507435081239 0.620601352201995 -0.231751013094217 -0.746416009533654 -0.586871420479181 -0.551433317514973 -0.673599166217055 -0.799001686395463 -0.703974839376323 -0.75955192694107 -0.363271996565374 -0.87664863888983 0.841152349847808 0.854795945189402 0.902003852242987 0.89161730840089 0.587717843982768 0.906797799862038 0.914277635894191 0.605517878955572 0.962001464869007 0.9286571383899 0.942626518030851 0.883299500512668 1 0.909164094789784 0.193217939994906 0.980090362240367 0.907163719708154 0.907933724223283 0.904049048403563 0.910979138733056 0.157775698225169 0.182476761920559 0.51382218562453 0.593897890934664 0.202809597203484 0.09460739131217 0.0935587683241318 0.120155461819676 0.243328594373443 0.57489761181921 -0.327746767902587
